Iter,GalaPoints,GalaRank,GF_Result,GL_Result,GalaLostFrankfurt,GalaWonFrankfurt
745,10,19,W,D,0,1
746,9,24,D,L,0,0
747,10,16,W,L,0,1
748,11,17,D,W,0,0
749,4,36,L,L,1,0
750,9,25,W,L,0,1
751,2,35,L,D,1,0
752,10,18,L,D,1,0
753,6,32,D,D,0,0
754,10,21,L,L,1,0
755,8,28,L,D,1,0
756,2,36,L,D,1,0
757,12,14,W,L,0,1
758,7,25,L,L,1,0
759,10,21,W,L,0,1
760,14,12,D,D,0,0
761,4,35,L,D,1,0
762,12,12,W,W,0,1
763,2,35,L,D,1,0
764,13,13,L,W,1,0
765,10,23,D,D,0,0
766,9,23,L,W,1,0
767,11,21,D,W,0,0
768,7,29,L,D,1,0
769,7,30,L,L,1,0
770,4,33,D,W,0,0
771,11,17,W,D,0,1
772,5,34,L,L,1,0
773,4,33,L,D,1,0
774,11,20,D,L,0,0
775,9,25,W,W,0,1
776,12,15,D,L,0,0
777,3,34,L,L,1,0
778,8,30,L,L,1,0
779,11,20,L,L,1,0
780,11,18,W,L,0,1
781,12,17,W,D,0,1
782,13,11,L,W,1,0
783,13,12,D,D,0,0
784,10,25,D,D,0,0
785,5,35,W,L,0,1
786,5,32,L,L,1,0
787,7,27,D,L,0,0
788,11,19,L,W,1,0
789,12,16,W,D,0,1
790,4,34,L,L,1,0
791,5,34,W,L,0,1
792,8,27,D,W,0,0
793,14,4,L,W,1,0
794,10,20,W,D,0,1
795,6,34,D,D,0,0
796,13,9,L,W,1,0
797,9,21,L,L,1,0
798,15,8,W,L,0,1
799,10,20,L,W,1,0
800,14,11,L,D,1,0
801,9,24,L,L,1,0
802,19,4,W,W,0,1
803,13,12,W,W,0,1
804,9,26,D,D,0,0
805,9,27,L,W,1,0
806,18,3,W,W,0,1
807,3,34,L,L,1,0
808,8,26,L,L,1,0
809,14,10,L,D,1,0
810,10,23,D,W,0,0
811,5,35,L,L,1,0
812,13,11,L,L,1,0
813,6,32,D,L,0,0
814,6,32,D,L,0,0
815,4,36,W,L,0,1
816,9,28,L,L,1,0
817,12,18,D,L,0,0
818,17,6,W,L,0,1
819,15,5,L,W,1,0
820,15,7,W,W,0,1
821,7,32,D,L,0,0
822,10,18,L,L,1,0
823,13,11,D,D,0,0
824,4,34,L,L,1,0
825,1,36,L,L,1,0
826,11,18,L,W,1,0
827,12,17,D,L,0,0
828,10,19,W,D,0,1
829,10,24,D,W,0,0
830,8,27,L,L,1,0
831,19,2,W,W,0,1
832,11,16,L,L,1,0
833,10,15,W,D,0,1
834,9,24,L,D,1,0
835,11,19,D,L,0,0
836,8,26,L,L,1,0
837,6,33,D,D,0,0
838,12,14,W,W,0,1
839,8,27,D,D,0,0
840,7,28,L,W,1,0
841,12,16,W,W,0,1
842,6,29,L,L,1,0
843,9,26,L,D,1,0
844,12,13,L,W,1,0
845,8,30,L,D,1,0
846,12,14,L,W,1,0
847,6,32,L,L,1,0
848,4,33,L,L,1,0
849,9,27,W,D,0,1
850,12,16,L,L,1,0
851,15,6,L,W,1,0
852,10,23,L,L,1,0
853,14,10,W,L,0,1
854,12,11,L,D,1,0
855,19,5,W,L,0,1
856,10,23,D,W,0,0
857,8,26,L,W,1,0
858,5,31,L,D,1,0
859,17,6,D,L,0,0
860,10,22,W,D,0,1
861,8,26,D,W,0,0
862,14,11,L,W,1,0
863,12,15,W,D,0,1
864,5,32,L,L,1,0
865,11,17,W,L,0,1
866,6,32,L,L,1,0
867,7,28,W,L,0,1
868,14,13,D,D,0,0
869,15,9,W,L,0,1
870,8,25,L,D,1,0
871,7,29,D,L,0,0
872,16,6,W,L,0,1
873,10,21,W,D,0,1
874,12,16,W,L,0,1
875,15,6,L,W,1,0
876,9,21,L,L,1,0
877,5,32,L,D,1,0
878,10,19,W,D,0,1
879,15,7,W,L,0,1
880,11,15,D,L,0,0
881,15,7,W,D,0,1
882,14,11,W,L,0,1
883,6,32,L,D,1,0
884,7,31,W,L,0,1
885,7,30,L,L,1,0
886,10,20,L,L,1,0
887,11,18,L,D,1,0
888,10,25,D,W,0,0
889,4,35,D,L,0,0
890,9,25,L,L,1,0
891,16,5,W,L,0,1
892,7,32,L,W,1,0
893,6,30,L,L,1,0
894,7,29,L,D,1,0
895,4,35,D,L,0,0
896,1,36,D,L,0,0
897,12,17,D,W,0,0
898,9,24,L,L,1,0
899,14,13,L,W,1,0
900,8,30,L,D,1,0
901,7,28,D,L,0,0
902,9,26,D,D,0,0
903,10,22,W,L,0,1
904,7,28,W,L,0,1
905,3,36,D,L,0,0
906,7,29,L,L,1,0
907,11,18,W,L,0,1
908,13,14,W,L,0,1
909,7,28,L,L,1,0
910,14,9,W,W,0,1
911,12,14,D,W,0,0
912,12,13,L,L,1,0
913,13,13,D,D,0,0
914,12,19,D,D,0,0
915,8,27,L,L,1,0
916,8,25,W,L,0,1
917,11,20,L,D,1,0
918,9,23,L,D,1,0
919,12,19,D,L,0,0
920,8,28,L,D,1,0
921,8,28,D,W,0,0
922,12,17,W,W,0,1
923,14,7,W,W,0,1
924,14,8,D,W,0,0
925,14,9,W,W,0,1
926,21,1,W,L,0,1
927,13,12,W,W,0,1
928,17,5,W,D,0,1
929,9,24,L,W,1,0
930,11,18,L,W,1,0
931,14,9,D,L,0,0
932,10,21,D,W,0,0
933,10,23,L,W,1,0
934,3,35,W,L,0,1
935,12,12,L,W,1,0
936,8,25,L,L,1,0
937,11,19,L,D,1,0
938,8,27,D,L,0,0
939,6,34,L,L,1,0
940,7,33,L,D,1,0
941,10,21,L,L,1,0
942,4,35,W,L,0,1
943,14,9,L,W,1,0
944,9,25,D,L,0,0
945,10,25,L,L,1,0
946,2,36,L,L,1,0
947,11,16,W,L,0,1
948,12,13,L,L,1,0
949,9,24,D,D,0,0
950,10,21,L,L,1,0
951,12,14,L,W,1,0
952,12,13,L,W,1,0
953,6,34,L,L,1,0
954,7,30,L,L,1,0
955,10,22,L,L,1,0
956,7,30,L,L,1,0
957,9,24,W,L,0,1
958,9,23,D,L,0,0
959,13,13,W,L,0,1
960,11,19,D,L,0,0
961,10,21,L,L,1,0
962,11,18,W,W,0,1
963,11,17,W,L,0,1
964,8,24,W,L,0,1
965,8,27,D,L,0,0
966,4,36,L,D,1,0
967,4,32,L,L,1,0
968,11,21,D,L,0,0
969,12,13,W,L,0,1
970,12,16,L,W,1,0
971,12,16,L,W,1,0
972,11,20,D,W,0,0
973,9,26,L,D,1,0
974,14,10,D,W,0,0
975,14,10,D,W,0,0
976,13,11,L,W,1,0
977,11,17,L,W,1,0
978,8,30,D,L,0,0
979,5,35,L,L,1,0
980,9,26,L,D,1,0
981,11,20,D,D,0,0
982,2,36,L,L,1,0
983,10,21,L,W,1,0
984,9,25,D,L,0,0
